X,Y,Curvatura
3.172921644564240529e-01,4.521992108459641502e-01,1.654542263454671591e+00
3.326601527252012747e-01,4.140799862154080913e-01,1.611799257319367351e+00
3.459394142518565363e-01,3.738819073455793562e-01,1.557152837579690585e+00
3.570359135896090663e-01,3.315508021390374260e-01,1.491438257844756698e+00
3.570359135896090663e-01,3.315508021390374260e-01,2.592239170237887080e+00
3.357274259410799044e-01,3.048126712067131816e-01,2.758778070098975910e+00
3.200916978585527928e-01,2.770937995936460507e-01,2.868480355632593515e+00
3.098188398015017109e-01,2.486413474944079161e-01,2.913239965058358472e+00
3.045989622294001942e-01,2.197024751035701051e-01,2.894318232980681582e+00
3.041221756017219446e-01,1.905243426157038622e-01,2.822251080386934063e+00
3.080785903779406643e-01,1.613541102253813198e-01,2.713205180832251706e+00
3.161583170175299995e-01,1.324389381271736388e-01,2.584378982407426584e+00
3.280514659799639854e-01,1.040259865156521468e-01,2.450817349867687511e+00
3.434481477247157688e-01,7.636241558538886531e-02,2.324183877199571313e+00
3.620384727112595513e-01,4.969538553095481648e-02,2.212831603319878937e+00
3.835125513990685353e-01,2.427205654692203216e-02,2.122382228014407790e+00
4.075604942476167558e-01,3.395888278617973863e-04,2.056342411872368992e+00
4.338724117163780258e-01,-2.185485743165459585e-02,2.016580010699846603e+00
4.621384142648256033e-01,-4.206412203705516689e-02,2.003637686235454574e+00
4.920486123524337452e-01,-6.004104479376878856e-02,2.016912761263166765e+00
5.232931164386755984e-01,-7.553846550722358166e-02,2.054732766830990265e+00
5.555620369830249761e-01,-8.830922398284821173e-02,2.114340290560956515e+00
5.885454844449555800e-01,-9.810616002607114305e-02,2.191788444889378518e+00
6.219335692839418339e-01,-1.046821134423209093e-01,2.281752976540313949e+00
6.554164019594562740e-01,-1.077899240370258499e-01,2.377300729538410984e+00
6.886840929309736570e-01,-1.071824316156144985e-01,2.469726659649260192e+00
7.214267526579666301e-01,-1.026124759835153472e-01,2.548676196005096983e+00
7.533344915999095059e-01,-9.383289694615687404e-02,2.602848544595404157e+00
7.840974202162758200e-01,-8.059653430896752957e-02,2.621491472567801573e+00
8.134056489665399958e-01,-6.265622787737562538e-02,2.596507577020877200e+00
8.409492883101745697e-01,-3.976481745680970903e-02,2.524408129216399566e+00
8.664184487066538543e-01,-1.167514285269857788e-02,2.407098272202787825e+00
8.895032406154512739e-01,2.185995612952951195e-02,2.251018491119987530e+00
9.098937744960406970e-01,6.108763968444606840e-02,2.065147053575377534e+00
9.272801608078962143e-01,1.062550680066231268e-01,1.858887751871856509e+00
9.413525100104906951e-01,1.576094012906312791e-01,1.640597602194334037e+00
9.518009325632984519e-01,2.153977997310431158e-01,1.416925247248986164e+00
9.583155389257930201e-01,2.798674235224289930e-01,1.192748512331817556e+00
9.605864395574479353e-01,3.512654328593609598e-01,9.714195809959735861e-01
9.605864395574479353e-01,3.512654328593609598e-01,3.902591844812270949e+00
9.470145045758512348e-01,3.618154488358660270e-01,4.303018805270681924e+00
9.389329573846825205e-01,3.750379549527611545e-01,4.349629709851698500e+00
9.360190854279459849e-01,3.906891767715643393e-01,4.035758681520936975e+00
9.379501761496443768e-01,4.085253398537944669e-01,3.548338611537682041e+00
9.444035169937822216e-01,4.283026697609701450e-01,3.041742309700801172e+00
9.550563954043622683e-01,4.497773920546093707e-01,2.579244094268846599e+00
9.695860988253889312e-01,4.727057322962310293e-01,2.176619701166826015e+00
9.876699147008656254e-01,4.968439160473537286e-01,1.833256471937158683e+00
1.008985130474795655e+00,5.219481688694953547e-01,1.544351591664412160e+00
1.033209033591183212e+00,5.477747163241751815e-01,1.304865900049044569e+00
1.060018911494031046e+00,5.740797839729109286e-01,1.110595985721660739e+00
1.089092051627343904e+00,6.006195973772217034e-01,9.583126128442700509e-01
1.120105741435124758e+00,6.271503820986255029e-01,8.456257131682582973e-01
1.152737268361377465e+00,6.534283636986411015e-01,7.707978705375655437e-01
1.186663919850105886e+00,6.792097677387876065e-01,7.325814216775119458e-01
1.221562983345313214e+00,7.042508197805822379e-01,7.301043417951766923e-01
1.257111746291002863e+00,7.283077453855441030e-01,7.628115885228065052e-01
1.292987496131179137e+00,7.511367701151918652e-01,8.304599011717845869e-01
1.328867520309845451e+00,7.724941195310438546e-01,9.331584399657395501e-01
1.364429106271006109e+00,7.921360191946188456e-01,1.071442863463656359e+00
1.399349541458663415e+00,8.098186946674348352e-01,1.246364143163587013e+00
1.433306113316821451e+00,8.252983715110104868e-01,1.459559800895820603e+00
1.465976109289484297e+00,8.383312752868643525e-01,1.713239860893977839e+00
1.497036816820654925e+00,8.486736315565147626e-01,2.009927158711426909e+00
1.526165523354338749e+00,8.560816658814808244e-01,2.351554817900057159e+00
1.553039516334536740e+00,8.603116038232800911e-01,2.736942598579516606e+00
1.577336083205254535e+00,8.611196709434317809e-01,3.155412521802968495e+00
1.598732511410495327e+00,8.582620928034543351e-01,3.572680173558664851e+00
1.616906088394261864e+00,8.514950949648656398e-01,3.909343859220228090e+00
1.631534101600558895e+00,8.405749029891846913e-01,4.042867593707226703e+00
1.642293838473389389e+00,8.252577424379302640e-01,3.893633455586944070e+00
1.648862586456757651e+00,8.052998388726197998e-01,3.516216843896703192e+00
1.650917632994666873e+00,7.804574178547731833e-01,3.033363427695126902e+00
1.648136265531120470e+00,7.504867049459078565e-01,2.534351201620264060e+00
