X,Y,Curvatura
-5.042014215416529277e-01,9.160471681869623017e-01,3.643448745925424781e+00
-4.823895277429806616e-01,9.460379448356199816e-01,3.727410038474544773e+00
-4.589864989676484819e-01,9.764959558247010563e-01,3.843234752079968786e+00
-4.341969754077417698e-01,1.006804993545820759e+00,3.988474694205642379e+00
-4.082255972553451295e-01,1.036348850390595988e+00,4.162120452500463585e+00
-3.812770047025432762e-01,1.064511318750642532e+00,4.363974604789875755e+00
-3.535558379414209251e-01,1.090676191017577068e+00,4.594066975386787988e+00
-3.252667371640633465e-01,1.114227259583015162e+00,4.851835106171378698e+00
-2.966143425625549779e-01,1.134548316838573490e+00,5.134678042416032540e+00
-2.678032943289810341e-01,1.151023155175867840e+00,5.435267662352540441e+00
-2.390382326554261194e-01,1.163035566986514890e+00,5.736881632864561098e+00
-2.105237977339751154e-01,1.169969344662129984e+00,6.007030701959211072e+00
-1.824646297567126263e-01,1.171208280594330464e+00,6.194319401498045607e+00
-1.550653689157236448e-01,1.166136167174731453e+00,6.241363415520410740e+00
-1.285306554030934412e-01,1.154136796794949849e+00,6.119084005660390346e+00
-1.030651294109065641e-01,1.134593961846602106e+00,5.850486733646524939e+00
-7.887343113124758998e-02,1.106891454721303347e+00,5.491172763449457150e+00
-5.616020075620142826e-02,1.070413067810670249e+00,5.093849466240097712e+00
-3.513007847785324517e-02,1.024542593506319710e+00,4.692651387166660193e+00
-1.598770448828748525e-02,9.686638241998664078e-01,4.305154438028536923e+00
1.062281020410617630e-03,9.021605522829281298e-01,3.938736742189020479e+00
1.581523785615646105e-02,8.244165701471204422e-01,3.595456649596019183e+00
1.581523785615646105e-02,8.244165701471204422e-01,1.543932733699473481e+00
1.439340154860402690e-02,7.350376253055165288e-01,1.612046252617223008e+00
1.243198960349455214e-02,6.504799971361014954e-01,1.679082010018173587e+00
9.990784548852844199e-03,5.706150269074562464e-01,1.744521791794918730e+00
7.129568912703691461e-03,4.953140558881594102e-01,1.807680533682684665e+00
3.908125223071828511e-03,4.244484253467891710e-01,1.867638631474891397e+00
3.862360079821105033e-04,3.578894765519261556e-01,1.923138231114177366e+00
-3.376316204540709756e-03,2.955085507721489924e-01,1.972418417075321617e+00
-7.319748886471898544e-03,2.371769892760362819e-01,2.012941423713836109e+00
-1.138427950978657469e-02,1.827661333321683734e-01,2.040912090406425516e+00
-1.551012554646004522e-02,1.321473242091233957e-01,2.050373136277172215e+00
-1.963750446846744199e-02,8.519190317548155922e-02,2.031336289557152508e+00
-2.370663374778402693e-02,4.177121149982153392e-02,1.965390298938468394e+00
-2.765773085638500994e-02,1.756590450722542336e-03,1.813171206863197327e+00
-3.143101326624560959e-02,-3.498061870323622424e-02,1.464358236544907932e+00
-3.496669844934110344e-02,-6.856907469347615913e-02,2.595930303988023269e-01
-3.820500387764657474e-02,-9.913743625141678562e-02,1.287517372443367947e+00
-4.108614702313731493e-02,-1.268143621084795725e-01,2.442789184063030028e+00
-4.355034535778853216e-02,-1.517285109960852807e-01,3.182015572228340083e+00
-4.553781635357544155e-02,-1.740085416456547407e-01,3.791431155250113871e+00
-4.698877748247328595e-02,-1.937831127886091021e-01,4.346382358820016556e+00
-4.784344621645723189e-02,-2.111808831563683764e-01,4.879387404674408124e+00
-4.804204002750252223e-02,-2.263305114803538243e-01,5.407669787246007331e+00
-4.752477638758435124e-02,-2.393606564919861235e-01,5.939630926803610933e+00
-4.623187276867796874e-02,-2.503999769226861183e-01,6.473759298980866994e+00
-4.410354664275852737e-02,-2.595771315038748472e-01,6.990871284392863316e+00
-4.108001548180132551e-02,-2.670207789669726273e-01,7.439350649119559122e+00
-3.710149675778156436e-02,-2.728595780434005524e-01,7.726367037969533058e+00
-3.210820794267443129e-02,-2.772221874645793838e-01,7.757097639642477560e+00
-2.604036650845514833e-02,-2.802372659619298823e-01,7.521432860230545359e+00
-1.883818992709877793e-02,-2.820334722668729199e-01,7.102473238776408238e+00
-1.044189567058101571e-02,-2.827394651108291468e-01,6.590716682333154885e+00
-7.917012108763950284e-04,-2.824839032252194349e-01,6.033381823857110859e+00
1.017217598003932605e-02,-2.813954453414646562e-01,5.434937739603634022e+00
2.250951843019111109e-02,-2.796027501909854607e-01,4.758616356480340315e+00
2.250951843019111109e-02,-2.796027501909854607e-01,5.076624444926514990e+00
6.563384088955077911e-02,-2.626468836921607708e-01,4.995895688286854153e+00
1.066703735240449313e-01,-2.408064997407991792e-01,4.876989127698061921e+00
1.457202867657162171e-01,-2.145691472138633038e-01,4.730183609206568995e+00
1.828847510466051485e-01,-1.844223749883170393e-01,4.564434794657432626e+00
2.182649367987543332e-01,-1.508537319411230870e-01,4.386368305609805951e+00
2.519620144542056850e-01,-1.143507669492442869e-01,4.199958112530269183e+00
2.840771544450013120e-01,-7.540102888964370087e-02,4.006464222873355574e+00
3.147115272031830724e-01,-3.449206663928437028e-02,3.804218757971259635e+00
3.439663031607934074e-01,7.888570924871590034e-03,3.587799016708165478e+00
3.719426527498731483e-01,5.125333492585947004e-02,3.345700868500411929e+00
3.987417464024648472e-01,9.511467648671705077e-02,3.053889409271570266e+00
4.244647545506104458e-01,1.389850467304813708e-01,2.654473411397226812e+00
4.492128476263518855e-01,1.823768967801893959e-01,1.946036736698867564e+00
4.730871960617311078e-01,2.248026777588781611e-01,0.000000000000000000e+00
4.961889702887904985e-01,2.657748407895853537e-01,2.355042264745213387e+00
5.186193407395709443e-01,3.048058369953464686e-01,3.124175430601007442e+00
5.404794778461152749e-01,3.414081174991993040e-01,3.673937566268610233e+00
5.618705520404648768e-01,3.750941334241806313e-01,4.152006693072472387e+00
5.828937337546620245e-01,4.053763358933277772e-01,4.610053562132111260e+00
6.036501934207489928e-01,4.317671760296779015e-01,5.072453954250275565e+00
6.242411014707670569e-01,4.537791049562672763e-01,5.548381536279840986e+00
6.447676283367584915e-01,4.709245737961331724e-01,6.027594228785551067e+00
6.653309444507649051e-01,4.827160336723126943e-01,6.463036748731958880e+00
6.860322202448284612e-01,4.886659357078426691e-01,6.750880302344643091e+00
7.069726261509918785e-01,4.882867310257604232e-01,6.766032120612893941e+00
7.282533326012956554e-01,4.810908707491025060e-01,6.485971880836784109e+00
7.499755100277827324e-01,4.665908060009062441e-01,6.021257639120349836e+00
7.722403288624946072e-01,4.442989879042085200e-01,5.494455433777922337e+00
7.951489595374734431e-01,4.137278675820463825e-01,4.973306902023081122e+00
8.188025724847616260e-01,3.743898961574559370e-01,4.483358724614529223e+00
8.433023381363995430e-01,3.257975247534766750e-01,4.030478839012311632e+00
8.687494269244312450e-01,2.674632044931418706e-01,3.613140085618522068e+00
8.952450092808972304e-01,1.988993864994916261e-01,3.227565438532503439e+00
9.228902556378395516e-01,1.196185218955618801e-01,2.869660501762612448e+00
