X,Y,Curvatura
-1.279528053219530781e+00,7.997732817467162469e-01,4.365418273362081436e+00
-1.282044369655537253e+00,7.494919196473105449e-01,4.376709447721142787e+00
-1.281243522228834530e+00,7.002511132529042337e-01,4.390099966344084059e+00
-1.277300259867495846e+00,6.522472364167188896e-01,4.407323828818907607e+00
-1.270389331499594210e+00,6.056766629919758671e-01,4.430099739143115833e+00
-1.260685486053200410e+00,5.607357668318964095e-01,4.460093187689867733e+00
-1.248363472456388124e+00,5.176209217897015380e-01,4.498872750859864489e+00
-1.233598039637229693e+00,4.765285017186123850e-01,4.547855893288621942e+00
-1.216563936523797684e+00,4.376548804718503050e-01,4.608238675704301457e+00
-1.197435912044164219e+00,4.011964319026365966e-01,4.680902620139129056e+00
-1.176388715126400974e+00,3.673495298641921702e-01,4.766290348475516581e+00
-1.153597094698581849e+00,3.363105482097384358e-01,4.864239600549304932e+00
-1.129235799688778519e+00,3.082758607924967476e-01,4.973763899657806853e+00
-1.103479579025063329e+00,2.834418414656879603e-01,5.092770593750589825e+00
-1.076503181635509288e+00,2.620048640825337061e-01,5.217720189940964204e+00
-1.048481356448188295e+00,2.441613024962549228e-01,5.343266909966421174e+00
-1.019588852391173139e+00,2.301075305600728815e-01,5.461993522726167782e+00
-9.900004183925361634e-01,2.200399221272088257e-01,5.564463543358078468e+00
-9.598908033803494888e-01,2.141548510508839431e-01,5.639906119065347667e+00
-9.294347562826859033e-01,2.126486911843194771e-01,5.677775214223090394e+00
-8.988070260276181944e-01,2.157178163807365878e-01,5.670015718521995929e+00
-8.681823615432181507e-01,2.235586004933564908e-01,5.613221416054388513e+00
-8.377355117575585597e-01,2.363674173754005681e-01,5.509558756243842836e+00
-8.076412255987116540e-01,2.543406408800898411e-01,5.365903896033376697e+00
-7.780742519947504432e-01,2.776746448606454698e-01,5.191730469019445238e+00
-7.492093398737464938e-01,3.065658031702888087e-01,4.996872391002794345e+00
-7.212212381637727043e-01,3.412104896622411565e-01,4.789985222525622532e+00
-6.942846957929017515e-01,3.818050781897233681e-01,4.577880892485379327e+00
-6.685744616892059788e-01,4.285459426059571308e-01,4.365495407017345286e+00
-6.442652847807575078e-01,4.816294567641633551e-01,4.156171210538480487e+00
-6.215319139956290151e-01,5.412519945175634506e-01,3.952027346462987367e+00
-6.005490982618930662e-01,6.076099297193781057e-01,3.754301921124316266e+00
-5.814915865076217827e-01,6.808996362228292298e-01,3.563626420271549300e+00
-5.645341276608880632e-01,7.613174878811379553e-01,3.380229125809003587e+00
-5.498514706497639182e-01,8.490598585475246374e-01,3.204079150824190148e+00
-5.498514706497639182e-01,8.490598585475246374e-01,2.586965640063714211e+00
-5.673465890273872159e-01,8.169016964077584486e-01,3.087990594626018215e+00
-5.805902499312483034e-01,7.932214675174045215e-01,3.776621129348124661e+00
-5.897870935534313963e-01,7.774029642680795327e-01,4.854201911606297770e+00
-5.951417600860215984e-01,7.688299790513989374e-01,7.005035532656807007e+00
-5.968588897211039024e-01,7.668863042589795231e-01,1.187323048226727806e+01
-5.951431226507629679e-01,7.709557322824370784e-01,6.287422416302478112e+00
-5.901990990670835657e-01,7.804220555133883908e-01,4.803233201695765509e+00
-5.822314591621509106e-01,7.946690663434490265e-01,4.139884808181068188e+00
-5.714448431280491070e-01,8.130805571642354401e-01,3.813934874657208152e+00
-5.580438911568638138e-01,8.350403203673639752e-01,3.656098660210533424e+00
-5.422332434406794688e-01,8.599321483444500869e-01,3.594735240165457313e+00
-5.242175401715809535e-01,8.871398334871107849e-01,3.596202633699003393e+00
